name,address,phone,firm_reference_number,status,email
Bright Financial Services LLP,8 Allandale                    St. Albans     AL3 4NG     UNITED KINGDOM,44 7855426368,749576,Authorised,rob.dew@brightfs.org
Marc Bennett,20 Tithe Barn Close                    St Albans     al1 2qd     UNITED KINGDOM, 020020,470074,Appointed representative,
Financial Information Services,15 Deva Close                    St. Albans     AL3 4JS     UNITED KINGDOM,44 01727810396,170391,Appointed representative,
Synergy Financial Products Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 3301239938,312416,Authorised,markturner@sfpl.co.uk
Outsourced Professional Administration Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 1727734300,459719,Authorised,markturner@opal-uk.com
TrendWatch Asset Management Ltd,1 Flavian Close                    St. Albans     AL3 4JX     UNITED KINGDOM,44 01727762629,414207,Authorised,editor@trendwatch.co.uk
CES Investments Ltd,80 Ragged Hall Lane                    St. Albans     AL2 3LD     UNITED KINGDOM,+44 7533178381,526488,Appointed representative,stephen.westwood@cesininvest.co.uk
Gordon Shepherd Associates Limited,21 Abbey Mill Lane                    St. Albans     AL3 4HA     UNITED KINGDOM,44 1747836471,176016,Authorised,gordon.dhs@icloud.com
Trust Matters Financial Services Ltd,5 Holywell Hill                    St. Albans     AL1 1EU     UNITED KINGDOM,44 01727737610,425729,Authorised,graham@trustmatters.co.uk
consolidatemypensions.com Ltd,Suite 1     Clockhouse Court     5-7 London Road          St. Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,801905,Appointed representative,
CONSOLIDATEMYPENSIONS.COM LTD,1 Clockhouse Court 5-7 London Road                    St. Albans     AL1 1LA     UNITED KINGDOM,44 1727790152,809981,Authorised,stuart@feastnoble.com
David William Fawcett,1A Canberra House     London Road               St. Albans     AL1 1LE     UNITED KINGDOM,44 02083270664,215518,Appointed representative,
Northwood (St Albans) Ltd,48 London Road                    St. Albans     AL1 1NG     UNITED KINGDOM, 01727734550,461373,Appointed representative - introducer,stalbans@northwooduk.com
Feast Noble & Company LLP,Suite 1     Clockhouse Court     5-7 London Road          St Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,490071,Authorised,stuart@feastnoble.com
Consilia Wealth Management LLP,Clockhouse Court     5-7 London Road               St Albans     AL1 1LA     UNITED KINGDOM,44 01727832166,577504,Authorised,michellem@consiliawm.com
Supreme Wealth Management,Dagnall House     2 Lower Dagnall Street               St. Albans     AL3 4PA     UNITED KINGDOM,44 1727229822,144732,Authorised,jo@supremewm.co.uk
Nitzan Winter-Friesen,125 Riverside Road                    St. Albans     AL1 1RZ     UNITED KINGDOM,+44 02077441600,791890,Appointed representative,
HBB Financial Limited,The Old Church     48 Verulam Road               St. Albans     AL3 4DH     UNITED KINGDOM,44 1727862477,505961,Authorised,lawrence.watts@ntlworld.com
KD Wright Financial Services Limited,Centurion House     136-142 London Road               St. Albans     AL1 1PQ     UNITED KINGDOM,+44 01727852299,509886,Authorised,mark@kdw.co.uk
Taylor Burke Partnership,Whelan House     30 Marlborough Road               St. Albans     AL1 3XQ     UNITED KINGDOM, 08456033288,215254,Appointed representative,
Client First - Wealth Management Limited,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 01727228628,600620,Authorised,info@cfwm.co.uk
Crowdstacker Limited,Floors 1 & 2     6 Victoria Street               St. Albans     AL1 3JB     UNITED KINGDOM,+44 02071187570,648742,Authorised,mark.bristow@crowdstacker.com
Susan Hill FP Ltd,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 8081232332,760055,Appointed representative,
J C Langley & C M G Platt,45-49 Victoria Street                    St Albans     AL1 3WZ     UNITED KINGDOM,+44 01727869496,530738,Appointed representative,st_albans_agency@nfumutual.co.uk
MAB Wealth Management Ltd,12-14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 0,610741,Appointed representative,
Lifetime Wealth Management Ltd,14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 01727848412,400358,Appointed representative,
Tisco Financial Planning Ltd,Morton House     80A Victoria Street               St. Albans     AL1 3XH     UNITED KINGDOM,+44 01727734040,509803,Authorised,suzi@tisco.co.uk
Defined Returns Limited,Ziggurat     25 Grosvenor Road               St. Albans     AL1 3AW     UNITED KINGDOM,44 01727797811,402135,Authorised,paulbispham@definedreturns.com
Nhance Independent Limited,Main Mill     New Barnes Mill     Cottonmill Lane          St. Albans     AL1 2HA     UNITED KINGDOM,44 727799020,560821,Authorised,michelle@enhancewm.co.uk
NPA Insurance Limited,Mallinson House     40-42 St Peter's Street               St. Albans     AL1 3NP     UNITED KINGDOM,44 01727832161,202069,Authorised,g.richards@npa.co.uk
Butlers in Denim Ltd,28 Old Orchard     Park Street               St. Albans     AL2 2QB     UNITED KINGDOM,+44 2081275779,672851,Appointed representative - introducer,hello@butlersindenim.co.uk
IFPC Limited,Faulkner House     Victoria Street               St. Albans     AL1 3SN     UNITED KINGDOM,44 01727837128,144197,Authorised,rbradly@ifpc.co.uk
Spreadex Limited,26-30 Upper Marlborough Road                    St. Albans     AL1 3UU     UNITED KINGDOM,44 01727895000,190941,Authorised,info@spreadex.com
Buckley Wealth Limited,Fountain Court     2 Victoria Square     Victoria Street          St Albans     AL1 3TF     UNITED KINGDOM,+44 07879384599,618213,Appointed representative,david@bw-ifa.co.uk
Pranaflow Limited,Fountain Court     2 Victoria Square     Victoria Street          St. Albans     AL1 3TF     UNITED KINGDOM,44 7802503136,758751,Authorised,tim@flowifp.co.uk
Paul Michael Pritchard,St. Albans Chambers     2 St. Peters Street               St. Albans     AL1 3LF     UNITED KINGDOM, 01727732395,215879,Appointed representative,
Individual Mortgage Solutions Limited,St Albans Chambers     2-4 St Peters Street               St Albans     AL1 3LF     UNITED KINGDOM,+44 01727238430,412758,Appointed representative,bill.harding@openwork.uk.com
Simon Jeremy Bailey,2-4 St. Peters Street                    St. Albans     AL1 3LF     UNITED KINGDOM,44 01727732394,570820,Authorised,chequerfs@btconnect.com
Townsend Financial Services,3 Townsend Drive                    St. Albans     AL3 5RB     UNITED KINGDOM,44 01727835119810297,216543,Appointed representative,
Avidity Wealth Management Ltd,Suite one     Phoenix House     63 Campfield Road     St Albans          AL1 5FL     UNITED KINGDOM, 01727898880,556041,Appointed representative,tim@aviditywealthmanagement.com
Consolidated Financial Management Limited,Centurion Court     83 Camp Road               St. Albans     AL1 5JN     UNITED KINGDOM,44 01727858136,400603,Authorised,gary@consolidatedfinancialmanagement.com
Lonsdale Services Ltd,Unit 3     Curo Park     Frogmore          St. Albans     AL2 2DD     UNITED KINGDOM,44 01727845500,225488,Authorised,enquiries@lonsdaleservices.co.uk
Adam Turner,26 Warwick Road                    St. Albans     AL1 4DL     UNITED KINGDOM,+44 07886032279,827813,Appointed representative,
Aqua Wealth Management Limited,Heath House     156a Sandridge Road     St Albans          Herts     AL1 4AP     UNITED KINGDOM,44 01727899244,578609,Authorised,info@aquawm.co.uk
Alban Financial Services Limited,213B Park Street Lane     Park Street               St. Albans     AL2 2BB     UNITED KINGDOM,+44 01727863816,215270,Appointed representative,
Oakley Property Finance Ltd,1 Ryall Close     Bricket Wood               St. Albans     AL2 3TS     UNITED KINGDOM,+44 01702431130,836346,Appointed representative,
Chamberlain Stean & West Ltd,Unit 2F     Horseshoe Business Park     Lye Lane     Bricket Wood     St. Albans     AL2 3TA     UNITED KINGDOM, 01923270036,466922,Appointed representative,enquiries@cswfs.co.uk
JDB Life Ltd,17 Horseshoe Business Park     Upper Lye Lane     Bricket Wood          St Albans     AL2 3TA     UNITED KINGDOM,44 01923517117,605775,Authorised,jason@blossomfinancial.co.uk
Just Private Medical Ltd,Unit 17     Horseshoe Business Park     Lye Lane     Bricket Wood     St. Albans     AL2 3TA     UNITED KINGDOM,+44 01923517117,740174,Appointed representative,
Alban Wealth LLP,Box 791     St Albans     Wheathampstead          St. Albans     AL4 8XG     UNITED KINGDOM,44 1727220321,624670,Authorised,paula@paulacohen.co.uk
